Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,-1.508e-05
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH2
-9.0008e-04,-0.0004
-8.9988e-04,0
-8.9968e-04,0.0004
-8.9948e-04,0.0004
-8.9928e-04,0.0008
-8.9908e-04,0.0008
-8.9888e-04,0
-8.9868e-04,0.0004
-8.9848e-04,0.0008
-8.9828e-04,-0.0004
-8.9808e-04,0
-8.9788e-04,0
-8.9768e-04,0.0008
-8.9748e-04,-0.0008
-8.9728e-04,0
-8.9708e-04,-0.0008
-8.9688e-04,0.0008
-8.9668e-04,-0.0004
-8.9648e-04,0.0012
-8.9628e-04,0
-8.9608e-04,0.0008
-8.9588e-04,0.0004
-8.9568e-04,0.0004
-8.9548e-04,0.0004
-8.9528e-04,0.0008
-8.9508e-04,0.0004
-8.9488e-04,0
-8.9468e-04,0.0004
-8.9448e-04,0
-8.9428e-04,-0.0008
-8.9408e-04,0.0004
-8.9388e-04,0.0004
-8.9368e-04,0.0008
-8.9348e-04,0.0004
-8.9328e-04,0.0004
-8.9308e-04,0.0008
-8.9288e-04,0.0004
-8.9268e-04,0
-8.9248e-04,0.0004
-8.9228e-04,0.0004
-8.9208e-04,0
-8.9188e-04,0.0004
-8.9168e-04,0.0004
-8.9148e-04,-0.0004
-8.9128e-04,0
-8.9108e-04,0.0004
-8.9088e-04,0.0004
-8.9068e-04,0.0008
-8.9048e-04,0.0004
-8.9028e-04,-0.0008
-8.9008e-04,0
-8.8988e-04,0.0004
-8.8968e-04,0
-8.8948e-04,0.0008
-8.8928e-04,0.0012
-8.8908e-04,0
-8.8888e-04,0
-8.8868e-04,0.0008
-8.8848e-04,0.0004
-8.8828e-04,0.0008
-8.8808e-04,0.0004
-8.8788e-04,0.0008
-8.8768e-04,0.0004
-8.8748e-04,0
-8.8728e-04,0.0004
-8.8708e-04,0
-8.8688e-04,0.0008
-8.8668e-04,0
-8.8648e-04,0.0008
-8.8628e-04,0.0008
-8.8608e-04,0.0004
-8.8588e-04,-0.0004
-8.8568e-04,0.0004
-8.8548e-04,0
-8.8528e-04,-0.0004
-8.8508e-04,0.0008
-8.8488e-04,0.0004
-8.8468e-04,0.0004
-8.8448e-04,0.0004
-8.8428e-04,0
-8.8408e-04,0
-8.8388e-04,0
-8.8368e-04,-0.0004
-8.8348e-04,-0.0008
-8.8328e-04,0.0004
-8.8308e-04,0.0004
-8.8288e-04,0.0004
-8.8268e-04,0.0008
-8.8248e-04,-0.0004
-8.8228e-04,0
-8.8208e-04,0.0004
-8.8188e-04,0
-8.8168e-04,0.0004
-8.8148e-04,0.0004
-8.8128e-04,-0.0004
-8.8108e-04,-0.0004
-8.8088e-04,0
-8.8068e-04,0.0008
-8.8048e-04,0.0012
-8.8028e-04,0
-8.8008e-04,-0.0004
-8.7988e-04,0
-8.7968e-04,0.0012
-8.7948e-04,0
